Name,Team,PER,OWS,DWS
Fred VanVleet,Toronto Raptors,13.7,2.4,1.9
Noah Vonleh,New York Knicks,13.9,1.5,1.7
Nikola Vucevic,Orlando Magic,25.5,5.4,4.7
Dwyane Wade,Miami Heat,15.8,0.1,2.3
Moritz Wagner,Los Angeles Lakers,10.1,-0.3,0.5
Dion Waiters,Miami Heat,11.4,0.1,1.1
Kemba Walker,Charlotte Hornets,21.7,5.5,1.9
Lonnie Walker,San Antonio Spurs,10.8,-0.1,0.2
John Wall,Washington Wizards,18,0.5,0.7
Tyrone Wallace,Los Angeles Clippers,7,-0.8,0.5
Taurean Prince,Atlanta Hawks,11.9,0.8,0.7
Brad Wanamaker,Boston Celtics,14.3,0.6,0.4
T.J. Warren,Phoenix Suns,16.3,1.6,0.5
Julian Washburn,,6.5,-0.2,0.3
Yuta Watanabe,,3.3,-0.4,0.2
Thomas Welsh,,16.1,0.1,0
Russell Westbrook,Oklahoma City Thunder,21.1,1.8,5
Derrick White,San Antonio Spurs,14.8,1.7,1.9
Okaro White,Washington Wizards,-4.5,0,0
Hassan Whiteside,Miami Heat,23.5,2.3,4
Andrew Wiggins,Minnesota Timberwolves,12.4,-0.6,1.3
Alan Williams,,32.9,0.1,0.1
C.J. Williams,,8.8,0.1,0.1
Johnathan Williams,,15.1,0.7,0.3
Kenrich Williams,New Orleans Pelicans,9.7,0.3,0.9
Lou Williams,Los Angeles Clippers,21.2,3.9,1.2
Marvin Williams,Charlotte Hornets,12.6,1.9,1.9
Robert Williams,Boston Celtics,18.8,0.5,0.6
Troy Williams,Houston Rockets,10.5,0.1,0.3
D.J. Wilson,Milwaukee Bucks,10.3,0.3,1.4
Justise Winslow,Miami Heat,12.8,0.2,2.6
Christian Wood,New Orleans Pelicans,21.9,0.4,0.3
Delon Wright,Memphis Grizzlies,15.5,1.9,2.4
Guerschon Yabusele,Boston Celtics,12.4,0.2,0.3
Nick Young,Denver Nuggets,2.3,0,0
Thaddeus Young,Indiana Pacers,16.2,3,3.9
Trae Young,Atlanta Hawks,17,2.5,0.7
Cody Zeller,Charlotte Hornets,17.2,2.6,1.2
Tyler Zeller,Atlanta Hawks,17.3,0.2,0.1
Ante Zizic,Cleveland Cavaliers,16.2,1.7,0.3
Ivica Zubac,Los Angeles Clippers,18.9,1.9,1.3
